id,release_date,movie,production_budget,domestic_gross,worldwide_gross,net_profit,ROI,release_year,clean_movie,clean_title,start_year,genres,primary_genre
37,2014-06-27,Transformers: Age of Extinction,210000000.0,245439076.0,1104039076.0,894039076.0,4.2573289333333335,2014,transformers age of extinction,transformers age of extinction,2014.0,"Action,Adventure,Sci-Fi",Action
39,2010-05-14,Robin Hood,210000000.0,105487148.0,322459006.0,112459006.0,0.5355190761904762,2010,robin hood,robin hood,2010.0,"Action,Adventure,Drama",Action
42,2018-02-16,Black Panther,200000000.0,700059566.0,1348258224.0,1148258224.0,5.74129112,2018,black panther,black panther,2018.0,"Action,Adventure,Sci-Fi",Action
44,2018-06-15,Incredibles 2,200000000.0,608581744.0,1242520711.0,1042520711.0,5.212603555,2018,incredibles 2,incredibles 2,2018.0,"Action,Adventure,Animation",Action
45,2016-12-16,Rogue One: A Star Wars Story,200000000.0,532177324.0,1049102856.0,849102856.0,4.24551428,2016,rogue one a star wars story,rogue one a star wars story,2016.0,"Action,Adventure,Sci-Fi",Action
46,2016-06-17,Finding Dory,200000000.0,486295561.0,1021215193.0,821215193.0,4.106075965,2016,finding dory,finding dory,2016.0,"Adventure,Animation,Comedy",Adventure
47,2010-06-18,Toy Story 3,200000000.0,415004880.0,1068879522.0,868879522.0,4.34439761,2010,toy story 3,toy story 3,2010.0,"Adventure,Animation,Comedy",Adventure
48,2013-05-03,Iron Man 3,200000000.0,408992272.0,1215392272.0,1015392272.0,5.07696136,2013,iron man 3,iron man 3,2013.0,"Action,Adventure,Sci-Fi",Action
51,2010-03-05,Alice in Wonderland,200000000.0,334191110.0,1025491110.0,825491110.0,4.12745555,2010,alice in wonderland,alice in wonderland,2010.0,"Adventure,Family,Fantasy",Adventure
51,2010-03-05,Alice in Wonderland,200000000.0,334191110.0,1025491110.0,825491110.0,4.12745555,2010,alice in wonderland,alice in wonderland,2010.0,"Fantasy,Musical",Fantasy
52,2012-11-08,Skyfall,200000000.0,304360277.0,1110526981.0,910526981.0,4.552634905,2012,skyfall,skyfall,2012.0,"Action,Adventure,Thriller",Action
53,2013-06-21,Monsters University,200000000.0,268488329.0,743588329.0,543588329.0,2.717941645,2013,monsters university,monsters university,2013.0,"Adventure,Animation,Comedy",Adventure
54,2013-03-08,Oz the Great and Powerful,200000000.0,234770996.0,490359051.0,290359051.0,1.451795255,2013,oz the great and powerful,oz the great and powerful,2013.0,"Adventure,Family,Fantasy",Adventure
55,2014-05-23,X-Men: Days of Future Past,200000000.0,233921534.0,747862775.0,547862775.0,2.739313875,2014,x-men days of future past,x-men days of future past,2014.0,"Action,Adventure,Sci-Fi",Action
56,2014-05-02,The Amazing Spider-Man 2,200000000.0,202853933.0,708996336.0,508996336.0,2.54498168,2014,the amazing spider-man 2,the amazing spider-man 2,2014.0,"Action,Adventure,Sci-Fi",Action
57,2011-06-24,Cars 2,200000000.0,191450875.0,560155383.0,360155383.0,1.800776915,2011,cars 2,cars 2,2011.0,"Adventure,Animation,Comedy",Adventure
58,2010-12-17,Tron: Legacy,200000000.0,172062763.0,400062763.0,200062763.0,1.000313815,2010,tron legacy,tron legacy,2010.0,"Action,Adventure,Fantasy",Action
60,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000.0,159555901.0,652220086.0,452220086.0,2.26110043,2018,fantastic beasts the crimes of grindelwald,fantastic beasts the crimes of grindelwald,2018.0,"Adventure,Family,Fantasy",Adventure
62,2011-06-17,Green Lantern,200000000.0,116601172.0,219535492.0,19535492.0,0.09767746,2011,green lantern,green lantern,2011.0,"Action,Adventure,Sci-Fi",Action
64,2011-06-29,Transformers: Dark of the Moon,195000000.0,352390543.0,1123790543.0,928790543.0,4.763028425641026,2011,transformers dark of the moon,transformers dark of the moon,2011.0,"Action,Adventure,Sci-Fi",Action
65,2017-06-09,The Mummy,195000000.0,80101125.0,409953905.0,214953905.0,1.1023277179487179,2017,the mummy,the mummy,2017.0,"Action,Adventure,Fantasy",Action
66,2013-03-01,Jack the Giant Slayer,195000000.0,65187603.0,197687603.0,2687603.0,0.013782579487179487,2013,jack the giant slayer,jack the giant slayer,2013.0,"Adventure,Fantasy",Adventure
67,2015-04-03,Furious 7,190000000.0,353007020.0,1518722794.0,1328722794.0,6.9932778631578945,2015,furious 7,furious 7,2015.0,"Action,Crime,Thriller",Action
68,2013-05-16,Star Trek Into Darkness,190000000.0,228778661.0,467381584.0,277381584.0,1.4599030736842105,2013,star trek into darkness,star trek into darkness,2013.0,"Action,Adventure,Sci-Fi",Action
69,2013-06-21,World War Z,190000000.0,202359711.0,531514650.0,341514650.0,1.7974455263157896,2013,world war z,world war z,2013.0,"Action,Adventure,Horror",Action
70,2013-05-10,The Great Gatsby,190000000.0,144840419.0,351040419.0,161040419.0,0.847581152631579,2013,the great gatsby,the great gatsby,2013.0,"Drama,Romance",Drama
72,2013-07-12,Pacific Rim,190000000.0,101802906.0,411002906.0,221002906.0,1.1631731894736843,2013,pacific rim,pacific rim,2013.0,"Action,Adventure,Sci-Fi",Action
73,2015-11-25,The Good Dinosaur,187500000.0,123087120.0,333771037.0,146271037.0,0.7801121973333334,2015,the good dinosaur,the good dinosaur,2015.0,"Adventure,Animation,Comedy",Adventure
77,2012-06-22,Brave,185000000.0,237282182.0,554606532.0,369606532.0,1.997873145945946,2012,brave,brave,2012.0,"Adventure,Animation,Comedy",Adventure
78,2017-03-10,Kong: Skull Island,185000000.0,168052812.0,561072059.0,376072059.0,2.0328219405405403,2017,kong skull island,kong skull island,2017.0,"Action,Adventure,Fantasy",Action
79,2016-07-22,Star Trek Beyond,185000000.0,158848340.0,335802233.0,150802233.0,0.8151472054054054,2016,star trek beyond,star trek beyond,2016.0,"Action,Adventure,Sci-Fi",Action
80,2017-10-06,Blade Runner 2049,185000000.0,92054159.0,259357408.0,74357408.0,0.40193193513513514,2017,blade runner 2049,blade runner 2049,2017.0,"Drama,Mystery,Sci-Fi",Drama
81,2019-05-24,Aladdin,182000000.0,246734314.0,619234314.0,437234314.0,2.4023863406593406,2019,aladdin,aladdin,2019.0,"Adventure,Comedy,Family",Adventure
82,2017-11-03,Thor: Ragnarok,180000000.0,315058289.0,846980024.0,666980024.0,3.7054445777777776,2017,thor ragnarok,thor ragnarok,2017.0,"Action,Adventure,Comedy",Action
84,2014-05-30,Maleficent,180000000.0,241407328.0,758536735.0,578536735.0,3.2140929722222222,2014,maleficent,maleficent,2014.0,"Action,Adventure,Family",Action
85,2016-11-18,Fantastic Beasts and Where to Find Them,180000000.0,234037575.0,802402853.0,622402853.0,3.457793627777778,2016,fantastic beasts and where to find them,fantastic beasts and where to find them,2016.0,"Adventure,Family,Fantasy",Adventure
88,2016-07-01,The Legend of Tarzan,180000000.0,126643061.0,348902025.0,168902025.0,0.9383445833333334,2016,the legend of tarzan,the legend of tarzan,2016.0,"Action,Adventure,Drama",Action
89,2011-11-23,Hugo,180000000.0,73864507.0,180047784.0,47784.0,0.00026546666666666665,2011,hugo,hugo,2011.0,"Adventure,Drama,Family",Adventure
90,2017-07-21,Valerian and the City of a Thousand Planets,180000000.0,40479370.0,215098356.0,35098356.0,0.19499086666666668,2017,valerian and the city of a thousand planets,valerian and the city of a thousand planets,2017.0,"Action,Adventure,Fantasy",Action
91,2015-02-06,Jupiter Ascending,179000000.0,47482519.0,181982519.0,2982519.0,0.016662117318435754,2015,jupiter ascending,jupiter ascending,2015.0,"Action,Adventure,Sci-Fi",Action
93,2016-05-27,X-Men: Apocalypse,178000000.0,155442489.0,542537546.0,364537546.0,2.047963741573034,2016,x-men apocalypse,x-men apocalypse,2016.0,"Action,Adventure,Sci-Fi",Action
94,2018-08-10,The Meg,178000000.0,145443742.0,529530715.0,351530715.0,1.9748916573033708,2018,the meg,the meg,2018.0,"Action,Horror,Sci-Fi",Action
95,2014-06-06,Edge of Tomorrow,178000000.0,100206256.0,370541256.0,192541256.0,1.0816924494382023,2014,edge of tomorrow,edge of tomorrow,2014.0,"Action,Sci-Fi",Action
96,2019-03-08,Captain Marvel,175000000.0,426525952.0,1123061550.0,948061550.0,5.417494571428572,2019,captain marvel,captain marvel,2019.0,"Action,Adventure,Sci-Fi",Action
97,2016-04-15,The Jungle Book,175000000.0,364001123.0,962854547.0,787854547.0,4.502025982857143,2016,the jungle book,the jungle book,2016.0,"Adventure,Drama,Family",Adventure
98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,679235992.0,3.881348525714286,2015,inside out,inside out,2015.0,"Adventure,Animation,Comedy",Adventure
99,2017-07-07,Spider-Man: Homecoming,175000000.0,334201140.0,880166350.0,705166350.0,4.029522,2017,spider-man homecoming,spider-man homecoming,2017.0,"Action,Adventure,Sci-Fi",Action
100,2016-08-05,Suicide Squad,175000000.0,325100054.0,746059887.0,571059887.0,3.2631993542857143,2016,suicide squad,suicide squad,2016.0,"Action,Adventure,Fantasy",Action
2,2017-11-22,Coco,175000000.0,209726015.0,798008101.0,623008101.0,3.5600462914285713,2017,coco,coco,2017.0,"Adventure,Animation,Comedy",Adventure
2,2017-11-22,Coco,175000000.0,209726015.0,798008101.0,623008101.0,3.5600462914285713,2017,coco,coco,2017.0,Horror,Horror
3,2018-11-21,Ralph Breaks The Internet,175000000.0,201091711.0,524283695.0,349283695.0,1.9959068285714285,2018,ralph breaks the internet,ralph breaks the internet,2018.0,"Adventure,Animation,Comedy",Adventure
5,2017-06-16,Cars 3,175000000.0,152901115.0,383541369.0,208541369.0,1.1916649657142857,2017,cars 3,cars 3,2017.0,"Adventure,Animation,Comedy",Adventure
11,2017-05-12,King Arthur: Legend of the Sword,175000000.0,39175066.0,139630336.0,-35369664.0,-0.2021123657142857,2017,king arthur legend of the sword,king arthur legend of the sword,2017.0,"Action,Adventure,Drama",Action
12,2013-12-25,47 Ronin,175000000.0,38362475.0,151716815.0,-23283185.0,-0.13304677142857144,2013,47 ronin,47 ronin,2013.0,"Action,Adventure,Drama",Action
13,2018-06-22,Jurassic World: Fallen Kingdom,170000000.0,417719760.0,1305772799.0,1135772799.0,6.681016464705882,2018,jurassic world fallen kingdom,jurassic world fallen kingdom,2018.0,"Action,Adventure,Sci-Fi",Action
14,2014-08-01,Guardians of the Galaxy,170000000.0,333172112.0,770867516.0,600867516.0,3.5345148,2014,guardians of the galaxy,guardians of the galaxy,2014.0,"Action,Adventure,Comedy",Action
15,2010-05-07,Iron Man 2,170000000.0,312433331.0,621156389.0,451156389.0,2.653861111764706,2010,iron man 2,iron man 2,2010.0,"Action,Adventure,Sci-Fi",Action
16,2014-04-04,Captain America: The Winter Soldier,170000000.0,259746958.0,714401889.0,544401889.0,3.2023640529411765,2014,captain america the winter soldier,captain america the winter soldier,2014.0,"Action,Adventure,Sci-Fi",Action
17,2014-07-11,Dawn of the Planet of the Apes,170000000.0,208545589.0,710644566.0,540644566.0,3.1802621529411765,2014,dawn of the planet of the apes,dawn of the planet of the apes,2014.0,"Action,Adventure,Drama",Action
19,2012-06-01,Snow White and the Huntsman,170000000.0,155136755.0,401021746.0,231021746.0,1.3589514470588235,2012,snow white and the huntsman,snow white and the huntsman,2012.0,"Action,Adventure,Drama",Action
22,2019-03-29,Dumbo,170000000.0,113883318.0,345004422.0,175004422.0,1.0294377764705882,2019,dumbo,dumbo,2019.0,"Adventure,Family,Fantasy",Adventure
23,2015-05-22,Tomorrowland,170000000.0,93436322.0,206627518.0,36627518.0,0.2154559882352941,2015,tomorrowland,tomorrowland,2015.0,"Action,Adventure,Family",Action
24,2019-02-14,Alita: Battle Angel,170000000.0,85710210.0,402976036.0,232976036.0,1.3704472705882353,2019,alita battle angel,alita battle angel,2019.0,"Action,Adventure,Sci-Fi",Action
25,2019-05-31,Godzilla: King of the Monsters,170000000.0,85576941.0,299276941.0,129276941.0,0.7604525941176471,2019,godzilla king of the monsters,godzilla king of the monsters,2019.0,"Action,Adventure,Fantasy",Action
26,2016-05-27,Alice Through the Looking Glass,170000000.0,77042381.0,276928112.0,106928112.0,0.628988894117647,2016,alice through the looking glass,alice through the looking glass,2016.0,"Adventure,Family,Fantasy",Adventure
27,2010-05-21,Shrek Forever After,165000000.0,238736787.0,756244673.0,591244673.0,3.5833010484848486,2010,shrek forever after,shrek forever after,2010.0,"Adventure,Animation,Comedy",Adventure
28,2016-11-04,Doctor Strange,165000000.0,232641920.0,676404566.0,511404566.0,3.099421612121212,2016,doctor strange,doctor strange,2016.0,"Action,Adventure,Fantasy",Action
29,2014-11-07,Big Hero 6,165000000.0,222527828.0,652127828.0,487127828.0,2.952289866666667,2014,big hero 6,big hero 6,2014.0,"Action,Adventure,Animation",Action
30,2010-03-26,How to Train Your Dragon,165000000.0,217581232.0,494870992.0,329870992.0,1.9992181333333334,2010,how to train your dragon,how to train your dragon,2010.0,"Action,Adventure,Animation",Action
31,2012-11-02,Wreck-It Ralph,165000000.0,189412677.0,496511521.0,331511521.0,2.0091607333333332,2012,wreck-it ralph,wreck-it ralph,2012.0,"Adventure,Animation,Comedy",Adventure
32,2014-11-05,Interstellar,165000000.0,188017894.0,666379375.0,501379375.0,3.038662878787879,2014,interstellar,interstellar,2014.0,"Adventure,Drama,Sci-Fi",Adventure
33,2016-06-24,Independence Day: Resurgence,165000000.0,103144286.0,384169424.0,219169424.0,1.3282995393939394,2016,independence day resurgence,independence day resurgence,2016.0,"Action,Adventure,Sci-Fi",Action
35,2017-03-17,Beauty and the Beast,160000000.0,504014165.0,1259199706.0,1099199706.0,6.8699981625,2017,beauty and the beast,beauty and the beast,2017.0,"Family,Fantasy,Musical",Family
36,2018-12-21,Aquaman,160000000.0,335061807.0,1146894640.0,986894640.0,6.1680915,2018,aquaman,aquaman,2018.0,"Action,Adventure,Fantasy",Action
38,2010-07-16,Inception,160000000.0,292576195.0,835524642.0,675524642.0,4.2220290125,2010,inception,inception,2010.0,"Action,Adventure,Sci-Fi",Action
39,2015-11-20,The Hunger Games: Mockingjay - Part 2,160000000.0,281723902.0,648986787.0,488986787.0,3.05616741875,2015,the hunger games mockingjay - part 2,the hunger games mockingjay - part 2,2015.0,"Action,Adventure,Sci-Fi",Action
41,2014-05-16,Godzilla,160000000.0,200676069.0,529076069.0,369076069.0,2.30672543125,2014,godzilla,godzilla,2014.0,"Action,Adventure,Sci-Fi",Action
42,2011-06-03,X-Men: First Class,160000000.0,146408305.0,355408305.0,195408305.0,1.22130190625,2011,x-men first class,x-men first class,2011.0,"Action,Adventure,Sci-Fi",Action
44,2010-07-14,The Sorcerer's Apprentice,160000000.0,63150991.0,217986320.0,57986320.0,0.3624145,2010,the sorcerer's apprentice,the sorcerer's apprentice,2010.0,"Action,Adventure,Family",Action
46,2016-06-10,Warcraft,160000000.0,47225655.0,425522281.0,265522281.0,1.65951425625,2016,warcraft,warcraft,2016.0,"Action,Adventure,Fantasy",Action
47,2016-09-30,Deepwater Horizon,156000000.0,61433527.0,122603824.0,-33396176.0,-0.2140780512820513,2016,deepwater horizon,deepwater horizon,2016.0,"Action,Drama,History",Action
48,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000.0,104386950.0,418186950.0,263186950.0,1.6979803225806451,2010,the chronicles of narnia the voyage of the dawn treader,the chronicles of narnia the voyage of the dawn treader,2010.0,"Adventure,Family,Fantasy",Adventure
49,2015-07-01,Terminator: Genisys,155000000.0,89760956.0,432150894.0,277150894.0,1.7880702838709677,2015,terminator genisys,terminator genisys,2015.0,"Action,Adventure,Sci-Fi",Action
50,2018-03-23,Pacific Rim: Uprising,155000000.0,59874525.0,290930148.0,135930148.0,0.8769686967741935,2018,pacific rim uprising,pacific rim uprising,2018.0,"Action,Adventure,Sci-Fi",Action
52,2017-07-14,War for the Planet of the Apes,152000000.0,146880162.0,489592267.0,337592267.0,2.2210017565789473,2017,war for the planet of the apes,war for the planet of the apes,2017.0,"Action,Adventure,Drama",Action
55,2017-06-02,Wonder Woman,150000000.0,412563408.0,821133378.0,671133378.0,4.47422252,2017,wonder woman,wonder woman,2017.0,"Action,Adventure,Fantasy",Action
56,2013-11-22,Frozen,150000000.0,400738009.0,1272469910.0,1122469910.0,7.483132733333333,2013,frozen,frozen,2013.0,"Adventure,Animation,Comedy",Adventure
57,2016-03-04,Zootopia,150000000.0,341268248.0,1019429616.0,869429616.0,5.79619744,2016,zootopia,zootopia,2016.0,"Adventure,Animation,Comedy",Adventure
62,2016-11-23,Moana,150000000.0,248757044.0,637517365.0,487517365.0,3.2501157666666667,2016,moana,moana,2016.0,"Adventure,Animation,Comedy",Adventure
66,2013-11-08,Thor: The Dark World,150000000.0,206362140.0,644602516.0,494602516.0,3.297350106666667,2013,thor the dark world,thor the dark world,2013.0,"Action,Adventure,Fantasy",Action
69,2017-07-21,Dunkirk,150000000.0,190068280.0,499837368.0,349837368.0,2.33224912,2017,dunkirk,dunkirk,2017.0,"Action,Drama,History",Action
70,2011-05-06,Thor,150000000.0,181030624.0,449326618.0,299326618.0,1.9955107866666666,2011,thor,thor,2011.0,"Action,Adventure,Fantasy",Action
74,2011-05-26,Kung Fu Panda 2,150000000.0,165249063.0,664837547.0,514837547.0,3.4322503133333333,2011,kung fu panda 2,kung fu panda 2,2011.0,"Action,Adventure,Animation",Action
75,2015-05-15,Mad Max: Fury Road,150000000.0,153636354.0,370098020.0,220098020.0,1.4673201333333334,2015,mad max fury road,mad max fury road,2015.0,"Action,Adventure,Sci-Fi",Action
78,2018-03-29,Ready Player One,150000000.0,137690172.0,579290136.0,429290136.0,2.86193424,2018,ready player one,ready player one,2018.0,"Action,Adventure,Sci-Fi",Action
83,2010-07-01,The Last Airbender,150000000.0,131772187.0,319713881.0,169713881.0,1.1314258733333333,2010,the last airbender,the last airbender,2010.0,"Action,Adventure,Family",Action
87,2012-03-30,Wrath of the Titans,150000000.0,83670083.0,305270083.0,155270083.0,1.0351338866666666,2012,wrath of the titans,wrath of the titans,2012.0,"Action,Adventure,Fantasy",Action
89,2012-05-11,Dark Shadows,150000000.0,79727149.0,238202668.0,88202668.0,0.5880177866666667,2012,dark shadows,dark shadows,2012.0,"Comedy,Fantasy,Horror",Comedy
90,2013-06-28,White House Down,150000000.0,73103784.0,205440387.0,55440387.0,0.36960258,2013,white house down,white house down,2013.0,"Action,Drama,Thriller",Action
91,2010-02-12,The Wolfman,150000000.0,62189884.0,142634358.0,-7365642.0,-0.04910428,2010,the wolfman,the wolfman,2010.0,"Drama,Fantasy,Horror",Drama
92,2017-02-17,The Great Wall,150000000.0,45157105.0,334486852.0,184486852.0,1.2299123466666666,2017,the great wall,the great wall,2017.0,Documentary,Documentary
93,2015-10-09,Pan,150000000.0,35088320.0,151525973.0,1525973.0,0.010173153333333334,2015,pan,pan,2015.0,"Adventure,Comedy,Family",Adventure
94,2011-03-11,Mars Needs Moms,150000000.0,21392758.0,39549758.0,-110450242.0,-0.7363349466666667,2011,mars needs moms,mars needs moms,2011.0,"Adventure,Animation,Family",Adventure
97,2012-06-08,Madagascar 3: Europe's Most Wanted,145000000.0,216391482.0,746921271.0,601921271.0,4.151181179310345,2012,madagascar 3 europe's most wanted,madagascar 3 europe's most wanted,2012.0,"Adventure,Animation,Comedy",Adventure
99,2014-06-13,How to Train Your Dragon 2,145000000.0,177002924.0,614586270.0,469586270.0,3.238526,2014,how to train your dragon 2,how to train your dragon 2,2014.0,"Action,Adventure,Animation",Action
1,2014-03-07,Mr. Peabody & Sherman,145000000.0,111506430.0,269806430.0,124806430.0,0.860734,2014,mr. peabody & sherman,mr. peabody & sherman,2014.0,"Adventure,Animation,Comedy",Adventure
2,2012-11-21,Rise of the Guardians,145000000.0,103412758.0,306900902.0,161900902.0,1.1165579448275862,2012,rise of the guardians,rise of the guardians,2012.0,"Action,Adventure,Animation",Action
4,2016-07-15,Ghostbusters,144000000.0,128350574.0,229008658.0,85008658.0,0.5903379027777778,2016,ghostbusters,ghostbusters,2016.0,"Action,Comedy,Fantasy",Action
10,2011-07-22,Captain America: The First Avenger,140000000.0,176654505.0,370569776.0,230569776.0,1.6469269714285715,2011,captain america the first avenger,captain america the first avenger,2011.0,"Action,Adventure,Sci-Fi",Action
11,2016-01-29,Kung Fu Panda 3,140000000.0,143528619.0,517599142.0,377599142.0,2.6971367285714285,2016,kung fu panda 3,kung fu panda 3,2016.0,"Action,Adventure,Animation",Action
13,2013-03-27,G.I. Joe: Retaliation,140000000.0,122523060.0,375740705.0,235740705.0,1.6838621785714285,2013,g.i. joe retaliation,g.i. joe retaliation,2013.0,"Action,Adventure,Sci-Fi",Action
16,2014-12-12,Exodus: Gods and Kings,140000000.0,65014513.0,268314513.0,128314513.0,0.9165322357142857,2014,exodus gods and kings,exodus gods and kings,2014.0,"Action,Adventure,Drama",Action
17,2016-07-01,The BFG,140000000.0,55483770.0,199646680.0,59646680.0,0.4260477142857143,2016,the bfg,the bfg,2016.0,"Adventure,Family,Fantasy",Adventure
18,2016-02-26,Gods of Egypt,140000000.0,31153464.0,138836756.0,-1163244.0,-0.008308885714285714,2016,gods of egypt,gods of egypt,2016.0,"Action,Adventure,Fantasy",Action
26,2013-03-22,The Croods,135000000.0,187168425.0,573068425.0,438068425.0,3.2449512962962963,2013,the croods,the croods,2013.0,"Action,Adventure,Animation",Action
27,2015-12-25,The Revenant,135000000.0,183637894.0,532938302.0,397938302.0,2.947691125925926,2015,the revenant,the revenant,2015.0,"Action,Adventure,Biography",Action
29,2011-03-04,Rango,135000000.0,123477607.0,245724600.0,110724600.0,0.8201822222222223,2011,rango,rango,2011.0,"Adventure,Animation,Comedy",Adventure
31,2013-07-17,Turbo,135000000.0,83028130.0,286896578.0,151896578.0,1.125159837037037,2013,turbo,turbo,2013.0,"Adventure,Animation,Comedy",Adventure
32,2016-06-03,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000.0,82051601.0,245328374.0,110328374.0,0.8172472148148148,2016,teenage mutant ninja turtles out of the shadows,teenage mutant ninja turtles out of the shadows,2016.0,"Action,Adventure,Comedy",Action
33,2011-11-18,Happy Feet Two,135000000.0,64006466.0,157956466.0,22956466.0,0.1700478962962963,2011,happy feet two,happy feet two,2011.0,"Adventure,Animation,Comedy",Adventure
35,2018-11-02,The Nutcracker and the Four Realms,132900000.0,54858851.0,170293899.0,37393899.0,0.281368690744921,2018,the nutcracker and the four realms,the nutcracker and the four realms,2018.0,"Adventure,Family,Fantasy",Adventure
37,2014-11-26,Penguins of Madagascar,132000000.0,83350911.0,366942531.0,234942531.0,1.779867659090909,2014,penguins of madagascar,penguins of madagascar,2014.0,"Adventure,Animation,Comedy",Adventure
38,2013-11-22,The Hunger Games: Catching Fire,130000000.0,424668047.0,864868047.0,734868047.0,5.652831130769231,2013,the hunger games catching fire,the hunger games catching fire,2013.0,"Action,Adventure,Sci-Fi",Action
41,2018-07-06,Ant-Man and the Wasp,130000000.0,216648740.0,623144660.0,493144660.0,3.7934204615384615,2018,ant-man and the wasp,ant-man and the wasp,2018.0,"Action,Adventure,Comedy",Action
