id,release_date,movie,production_budget,domestic_gross,worldwide_gross,net_profit,ROI,release_year,clean_movie,clean_title_x,start_year_x,genres,primary_genre,clean_title_y,start_year_y,averagerating,numvotes
61,2010-10-15,Hereafter,50000000.0,32746941.0,108660270.0,58660270.0,1.1732054,2010,hereafter,hereafter,2010.0,"Drama,Fantasy,Romance",Drama,hereafter,2010,6.5,87288
64,2016-02-12,Zoolander 2,50000000.0,28848693.0,55348693.0,5348693.0,0.10697386,2016,zoolander 2,zoolander 2,2016.0,Comedy,Comedy,zoolander 2,2016,4.7,59914
68,2013-03-29,The Host,50000000.0,26623701.0,64477051.0,14477051.0,0.28954102,2013,the host,the host,2013.0,"Action,Adventure,Drama",Action,the host,2013,5.9,105633
70,2015-03-13,Run All Night,50000000.0,26461644.0,66961644.0,16961644.0,0.33923288,2015,run all night,run all night,2015.0,"Action,Drama,Thriller",Action,run all night,2015,6.6,94131
77,2019-04-12,Hellboy,50000000.0,21903748.0,40725492.0,-9274508.0,-0.18549016,2019,hellboy,hellboy,2019.0,"Action,Adventure,Fantasy",Action,hellboy,2019,5.4,19534
78,2011-04-08,Your Highness,50000000.0,21596445.0,26121638.0,-23878362.0,-0.47756724,2011,your highness,your highness,2011.0,"Adventure,Comedy,Fantasy",Adventure,your highness,2011,5.5,92940
79,2016-09-16,Snowden,50000000.0,21587519.0,35380918.0,-14619082.0,-0.29238164,2016,snowden,snowden,2016.0,"Biography,Drama,Thriller",Biography,snowden,2016,7.3,119149
80,2011-09-30,Dream House,50000000.0,21302340.0,41642166.0,-8357834.0,-0.16715668,2011,dream house,dream house,2011.0,"Drama,Mystery,Thriller",Drama,dream house,2011,6.0,59714
81,2016-06-24,Free State of Jones,50000000.0,20810036.0,23237252.0,-26762748.0,-0.53525496,2016,free state of jones,free state of jones,2016.0,"Action,Biography,Drama",Action,free state of jones,2016,6.9,45135
85,2013-02-14,Beautiful Creatures,50000000.0,19452138.0,60282876.0,10282876.0,0.20565752,2013,beautiful creatures,beautiful creatures,2013.0,"Drama,Fantasy,Romance",Drama,beautiful creatures,2013,6.2,79764
91,2011-02-25,Drive Angry,50000000.0,10721033.0,41042583.0,-8957417.0,-0.17914834,2011,drive angry,drive angry,2011.0,"Action,Fantasy,Thriller",Action,drive angry,2011,5.4,90203
98,2018-02-16,Early Man,50000000.0,8267544.0,45285890.0,-4714110.0,-0.0942822,2018,early man,early man,2018.0,"Adventure,Animation,Comedy",Adventure,early man,2018,6.1,15882
2,2015-04-17,Child 44,50000000.0,1224330.0,8004221.0,-41995779.0,-0.83991558,2015,child 44,child 44,2015.0,"Crime,Drama,History",Crime,child 44,2015,6.5,59477
11,2015-03-06,Chappie,49000000.0,31569268.0,105002056.0,56002056.0,1.1428991020408164,2015,chappie,chappie,2015.0,"Action,Crime,Drama",Action,chappie,2015,6.8,213733
13,2012-11-16,Anna Karenina,49000000.0,12816367.0,71004627.0,22004627.0,0.44907402040816324,2012,anna karenina,anna karenina,2012.0,"Drama,Romance",Drama,anna karenina,2012,6.6,84668
20,2018-11-16,Instant Family,48000000.0,67363237.0,119736188.0,71736188.0,1.4945039166666667,2018,instant family,instant family,2018.0,"Comedy,Drama",Comedy,instant family,2018,7.4,46728
23,2010-01-22,Tooth Fairy,48000000.0,60022256.0,112610386.0,64610386.0,1.3460497083333334,2010,tooth fairy,tooth fairy,2010.0,"Comedy,Family,Fantasy",Comedy,tooth fairy,2010,5.0,37939
32,2016-07-13,The Infiltrator,47500000.0,15436808.0,20718104.0,-26781896.0,-0.5638293894736842,2016,the infiltrator,the infiltrator,2016.0,"Biography,Crime,Drama",Biography,the infiltrator,2016,7.0,61547
34,2016-11-11,Arrival,47000000.0,100546139.0,203127894.0,156127894.0,3.321870085106383,2016,arrival,arrival,2016.0,"Drama,Mystery,Sci-Fi",Drama,arrival,2016,7.9,515483
40,2010-06-18,Jonah Hex,47000000.0,10547117.0,11022696.0,-35977304.0,-0.7654745531914894,2010,jonah hex,jonah hex,2010.0,"Action,Drama,Fantasy",Action,jonah hex,2010,4.7,51860
42,2016-12-23,Silence,46500000.0,7100177.0,23726626.0,-22773374.0,-0.48974997849462365,2016,silence,silence,2016.0,"Adventure,Drama,History",Adventure,silence,2016,7.2,85242
48,2013-09-20,Prisoners,46000000.0,61002302.0,113402302.0,67402302.0,1.4652674347826087,2013,prisoners,prisoners,2013.0,"Crime,Drama,Mystery",Crime,prisoners,2013,8.1,526273
54,2012-10-05,Taken 2,45000000.0,139854287.0,377807404.0,332807404.0,7.395720088888889,2012,taken 2,taken 2,2012.0,"Action,Thriller",Action,taken 2,2012,6.3,273106
58,2017-12-22,Pitch Perfect 3,45000000.0,104897530.0,185736412.0,140736412.0,3.1274758222222223,2017,pitch perfect 3,pitch perfect 3,2017.0,"Comedy,Music",Comedy,pitch perfect 3,2017,5.8,45127
