id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,net_profit,ROI,release_year,clean_movie,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,clean_title_x,primary_genre,title,studio,domestic_gross_y,foreign_gross,year,total_gross,clean_title_y
75,1997-04-11,Anaconda,45000000.0,65598907.0,136998907.0,91998907.0,2.0444201555555557,1997,anaconda,,,,,,,,,,Unknown,,,,,,,
76,2006-01-20,Underworld: Evolution,45000000.0,62318875.0,113417762.0,68417762.0,1.5203947111111111,2006,underworld evolution,,,,,,,,,,Unknown,,,,,,,
77,2000-08-04,Coyote Ugly,45000000.0,60786269.0,113916474.0,68916474.0,1.5314772,2000,coyote ugly,,,,,,,,,,Unknown,,,,,,,
78,2003-11-07,Love Actually,45000000.0,59472278.0,248505300.0,203505300.0,4.52234,2003,love actually,,,,,,,,,,Unknown,,,,,,,
79,1996-08-09,Jack,45000000.0,58617334.0,58617334.0,13617334.0,0.3026074222222222,1996,jack,,,,,,,,,,Unknown,,,,,,,
80,1994-10-07,The Specialist,45000000.0,57362581.0,57362581.0,12362581.0,0.2747240222222222,1994,the specialist,,,,,,,,,,Unknown,,,,,,,
81,2016-12-09,Office Christmas Party,45000000.0,54767494.0,91323299.0,46323299.0,1.0294066444444445,2016,office christmas party,tt1711525,Office Christmas Party,Office Christmas Party,2016.0,105.0,Comedy,5.8,59253.0,office christmas party,Comedy,Office Christmas Party,Par.,54800000.0,59700000.0,2016.0,114500000.0,office christmas party
82,1996-08-16,Tin Cup,45000000.0,53854588.0,75854588.0,30854588.0,0.6856575111111111,1996,tin cup,,,,,,,,,,Unknown,,,,,,,
83,2005-11-23,"Yours, Mine and Ours",45000000.0,53359917.0,72359917.0,27359917.0,0.6079981555555556,2005,"yours, mine and ours",,,,,,,,,,Unknown,,,,,,,
84,2005-05-13,Kicking and Screaming,45000000.0,52842724.0,55842724.0,10842724.0,0.2409494222222222,2005,kicking and screaming,,,,,,,,,,Unknown,,,,,,,
85,2005-04-29,The Hitchhiker's Guide to the Galaxy,45000000.0,51019112.0,102746214.0,57746214.0,1.2832492,2005,the hitchhiker's guide to the galaxy,,,,,,,,,,Unknown,,,,,,,
86,2007-09-21,Resident Evil: Extinction,45000000.0,50648679.0,149871103.0,104871103.0,2.3304689555555558,2007,resident evil extinction,,,,,,,,,,Unknown,,,,,,,
87,2004-12-25,Fat Albert,45000000.0,48114556.0,48563556.0,3563556.0,0.07919013333333333,2004,fat albert,,,,,,,,,,Unknown,,,,,,,
88,2012-07-06,Savages,45000000.0,47323100.0,82513490.0,37513490.0,0.8336331111111112,2012,savages,tt1615065,Savages,Savages,2012.0,131.0,"Crime,Drama,Thriller",6.5,115793.0,savages,Crime,,,,,,,
89,1994-09-30,The River Wild,45000000.0,46815000.0,94215000.0,49215000.0,1.0936666666666666,1994,the river wild,,,,,,,,,,Unknown,,,,,,,
90,2014-05-23,Blended,45000000.0,46290741.0,127990741.0,82990741.0,1.8442386888888889,2014,blended,tt1086772,Blended,Blended,2014.0,117.0,"Comedy,Romance",6.5,106491.0,blended,Comedy,Blended,WB,46300000.0,81700000.0,2014.0,128000000.0,blended
91,2017-06-16,All Eyez on Me,45000000.0,44922302.0,54876855.0,9876855.0,0.21948566666666666,2017,all eyez on me,tt1666185,All Eyez on Me,All Eyez on Me,2017.0,139.0,"Biography,Drama,Music",5.8,18541.0,all eyez on me,Biography,All Eyez on Me,LG/S,44900000.0,,2017.0,,all eyez on me
92,2006-01-13,Last Holiday,45000000.0,38399961.0,43343247.0,-1656753.0,-0.03681673333333333,2006,last holiday,,,,,,,,,,Unknown,,,,,,,
93,2006-03-03,16 Blocks,45000000.0,36895141.0,65595141.0,20595141.0,0.4576698,2006,16 blocks,,,,,,,,,,Unknown,,,,,,,
94,1995-07-14,The Indian in the Cupboard,45000000.0,35627222.0,35627222.0,-9372778.0,-0.20828395555555557,1995,the indian in the cupboard,,,,,,,,,,Unknown,,,,,,,
95,2004-09-10,Cellular,45000000.0,32003620.0,61475984.0,16475984.0,0.36613297777777776,2004,cellular,,,,,,,,,,Unknown,,,,,,,
96,2006-07-28,The Ant Bully,45000000.0,28142535.0,49610898.0,4610898.0,0.1024644,2006,the ant bully,,,,,,,,,,Unknown,,,,,,,
97,2003-07-18,Johnny English,45000000.0,28013509.0,163126676.0,118126676.0,2.6250372444444445,2003,johnny english,,,,,,,,,,Unknown,,,,,,,
98,1984-12-14,Dune,45000000.0,27447471.0,27447471.0,-17552529.0,-0.3900562,1984,dune,,,,,,,,,,Unknown,,,,,,,
99,2009-07-31,Aliens in the Attic,45000000.0,25200412.0,59551283.0,14551283.0,0.32336184444444444,2009,aliens in the attic,,,,,,,,,,Unknown,,,,,,,
100,2007-09-14,Across the Universe,45000000.0,24343673.0,29367143.0,-15632857.0,-0.34739682222222223,2007,across the universe,,,,,,,,,,Unknown,,,,,,,
1,2008-12-26,Revolutionary Road,45000000.0,22951340.0,79604820.0,34604820.0,0.768996,2008,revolutionary road,,,,,,,,,,Unknown,,,,,,,
2,2008-08-29,Babylon A.D.,45000000.0,22532572.0,70216497.0,25216497.0,0.5603666,2008,babylon a.d.,,,,,,,,,,Unknown,,,,,,,
3,1994-11-04,Frankenstein,45000000.0,22006296.0,112006296.0,67006296.0,1.4890288,1994,frankenstein,,,,,,,,,,Unknown,,,,,,,
4,1996-10-04,The Glimmer Man,45000000.0,20404841.0,36404841.0,-8595159.0,-0.19100353333333334,1996,the glimmer man,,,,,,,,,,Unknown,,,,,,,
5,1996-07-17,Multiplicity,45000000.0,20133326.0,20133326.0,-24866674.0,-0.5525927555555555,1996,multiplicity,,,,,,,,,,Unknown,,,,,,,
6,2019-05-03,UglyDolls,45000000.0,19894664.0,24644664.0,-20355336.0,-0.4523408,2019,uglydolls,tt1946502,UglyDolls,UglyDolls,2019.0,87.0,"Adventure,Animation,Comedy",4.5,1176.0,uglydolls,Adventure,,,,,,,
7,2001-01-19,The Pledge,45000000.0,19719930.0,29406132.0,-15593868.0,-0.3465304,2001,the pledge,,,,,,,,,,Unknown,,,,,,,
8,2005-12-16,The Producers: The Movie Musical,45000000.0,19398532.0,32952995.0,-12047005.0,-0.2677112222222222,2005,the producers the movie musical,,,,,,,,,,Unknown,,,,,,,
9,1996-06-07,The Phantom,45000000.0,17220599.0,17220599.0,-27779401.0,-0.6173200222222223,1996,the phantom,,,,,,,,,,Unknown,,,,,,,
10,2005-07-01,Rebound,45000000.0,16809014.0,17492014.0,-27507986.0,-0.6112885777777778,2005,rebound,,,,,,,,,,Unknown,,,,,,,
11,2010-02-19,The Ghost Writer,45000000.0,15541549.0,65532491.0,20532491.0,0.4562775777777778,2010,the ghost writer,tt1139328,The Ghost Writer,The Ghost Writer,2010.0,128.0,"Drama,Mystery,Thriller",7.2,148274.0,the ghost writer,Drama,The Ghost Writer,Sum.,15500000.0,44700000.0,2010.0,60200000.0,the ghost writer
12,2000-12-22,All the Pretty Horses,45000000.0,15527125.0,18120267.0,-26879733.0,-0.5973274,2000,all the pretty horses,,,,,,,,,,Unknown,,,,,,,
13,2008-09-05,Bangkok Dangerous,45000000.0,15298133.0,46598133.0,1598133.0,0.03551406666666666,2008,bangkok dangerous,,,,,,,,,,Unknown,,,,,,,
14,1995-12-20,Nixon,45000000.0,13668249.0,34668249.0,-10331751.0,-0.22959446666666666,1995,nixon,,,,,,,,,,Unknown,,,,,,,
15,2012-09-21,Dredd,45000000.0,13414714.0,41467606.0,-3532394.0,-0.07849764444444444,2012,dredd,tt1343727,Dredd,Dredd,2012.0,95.0,"Action,Crime,Sci-Fi",7.1,234616.0,dredd,Action,Dredd,LGF,13400000.0,22200000.0,2012.0,35600000.0,dredd
16,2011-10-28,The Rum Diary,45000000.0,13109815.0,21544732.0,-23455268.0,-0.5212281777777777,2011,the rum diary,tt0376136,The Rum Diary,The Rum Diary,2011.0,119.0,"Comedy,Drama",6.2,94787.0,the rum diary,Comedy,The Rum Diary,FD,13100000.0,10800000.0,2011.0,23900000.0,the rum diary
17,1998-01-30,Deep Rising,45000000.0,11203026.0,11203026.0,-33796974.0,-0.7510438666666667,1998,deep rising,,,,,,,,,,Unknown,,,,,,,
18,2018-12-21,Welcome to Marwen,45000000.0,10763520.0,12874922.0,-32125078.0,-0.7138906222222222,2018,welcome to marwen,tt3289724,Welcome to Marwen,Welcome to Marwen,2018.0,116.0,"Biography,Comedy,Drama",6.1,8920.0,welcome to marwen,Biography,Welcome to Marwen,Uni.,10800000.0,2100000.0,2018.0,12900000.0,welcome to marwen
19,2011-10-21,Johnny English Reborn,45000000.0,8406711.0,164640401.0,119640401.0,2.6586755777777777,2011,johnny english reborn,tt1634122,Johnny English Reborn,Johnny English Reborn,2011.0,101.0,"Action,Adventure,Comedy",6.3,110824.0,johnny english reborn,Action,Johnny English Reborn,Uni.,8300000.0,151800000.0,2011.0,160100000.0,johnny english reborn
20,2008-09-26,Miracle at St. Anna,45000000.0,7916887.0,9676497.0,-35323503.0,-0.7849667333333333,2008,miracle at st. anna,,,,,,,,,,Unknown,,,,,,,
21,2002-04-05,Big Trouble,45000000.0,7262288.0,8488871.0,-36511129.0,-0.8113584222222222,2002,big trouble,,,,,,,,,,Unknown,,,,,,,
22,2006-12-21,Man cheng jin dai huang jin jia,45000000.0,6566773.0,76904429.0,31904429.0,0.7089873111111111,2006,man cheng jin dai huang jin jia,,,,,,,,,,Unknown,,,,,,,
23,2007-11-16,Love in the Time of Cholera,45000000.0,4617608.0,31077418.0,-13922582.0,-0.3093907111111111,2007,love in the time of cholera,,,,,,,,,,Unknown,,,,,,,
24,2002-12-25,Pinocchio,45000000.0,3681811.0,31681811.0,-13318189.0,-0.29595975555555554,2002,pinocchio,,,,,,,,,,Unknown,,,,,,,
25,1997-01-31,Shadow Conspiracy,45000000.0,2154540.0,2154540.0,-42845460.0,-0.9521213333333334,1997,shadow conspiracy,,,,,,,,,,Unknown,,,,,,,
26,2012-12-31,Foodfight!,45000000.0,0.0,73706.0,-44926294.0,-0.9983620888888889,2012,foodfight,tt0249516,Foodfight!,Foodfight!,2012.0,91.0,"Action,Animation,Comedy",1.9,8248.0,foodfight,Action,,,,,,,
27,2012-10-12,Argo,44500000.0,136025503.0,227140757.0,182640757.0,4.104286674157303,2012,argo,tt1024648,Argo,Argo,2012.0,120.0,"Biography,Drama,Thriller",7.7,534683.0,argo,Biography,Argo,WB,136000000.0,96300000.0,2012.0,232300000.0,argo
28,1993-08-06,The Fugitive,44000000.0,183875760.0,353715317.0,309715317.0,7.038984477272727,1993,the fugitive,,,,,,,,,,Unknown,,,,,,,
29,1985-05-22,Rambo: First Blood Part II,44000000.0,150415432.0,300400000.0,256400000.0,5.827272727272727,1985,rambo first blood part ii,,,,,,,,,,Unknown,,,,,,,
30,1996-10-18,Sleepers,44000000.0,53300852.0,165600852.0,121600852.0,2.7636557272727273,1996,sleepers,,,,,,,,,,Unknown,,,,,,,
31,2010-07-30,Charlie St. Cloud,44000000.0,31206263.0,48478084.0,4478084.0,0.10177463636363636,2010,charlie st. cloud,tt1438254,Charlie St. Cloud,Charlie St. Cloud,2010.0,99.0,"Drama,Fantasy,Romance",6.5,55016.0,charlie st. cloud,Drama,Charlie St. Cloud,Uni.,31200000.0,17000000.0,2010.0,48200000.0,charlie st. cloud
32,1996-02-02,The Juror,44000000.0,22730924.0,22730924.0,-21269076.0,-0.4833880909090909,1996,the juror,,,,,,,,,,Unknown,,,,,,,
33,2014-02-06,The Interview,44000000.0,6105175.0,12342632.0,-31657368.0,-0.7194856363636364,2014,the interview,tt2788710,The Interview,The Interview,2014.0,112.0,Comedy,6.5,286341.0,the interview,Comedy,,,,,,,
34,1980-11-19,Heaven's Gate,44000000.0,3484331.0,3484523.0,-40515477.0,-0.9208062954545455,1980,heaven's gate,,,,,,,,,,Unknown,,,,,,,
35,2013-06-28,The Heat,43000000.0,159581587.0,229727774.0,186727774.0,4.342506372093023,2013,the heat,tt2404463,The Heat,The Heat,2013.0,117.0,"Action,Comedy,Crime",6.6,153501.0,the heat,Action,The Heat,Fox,159600000.0,70300000.0,2013.0,229900000.0,the heat
36,2000-12-19,Finding Forrester,43000000.0,51768623.0,80013623.0,37013623.0,0.8607819302325581,2000,finding forrester,,,,,,,,,,Unknown,,,,,,,
37,2000-04-14,28 Days,43000000.0,37035515.0,62063972.0,19063972.0,0.4433481860465116,2000,28 days,,,,,,,,,,Unknown,,,,,,,
38,2005-05-13,Danny the Dog,43000000.0,24537621.0,49037621.0,6037621.0,0.14040979069767442,2005,danny the dog,,,,,,,,,,Unknown,,,,,,,
39,2002-04-12,The Sweetest Thing,43000000.0,24430272.0,63078756.0,20078756.0,0.4669478139534884,2002,the sweetest thing,,,,,,,,,,Unknown,,,,,,,
40,2018-11-09,The Girl in the Spiderâs Web,43000000.0,14828555.0,34983342.0,-8016658.0,-0.1864339069767442,2018,the girl in the spiderâs web,,,,,,,,,,Unknown,,,,,,,
41,2017-01-06,A Monster Calls,43000000.0,3740823.0,46414530.0,3414530.0,0.07940767441860465,2017,a monster calls,,,,,,,,,,Unknown,,,,,,,
42,2011-01-28,The Mechanic,42500000.0,29121498.0,76347393.0,33847393.0,0.7964092470588235,2011,the mechanic,tt0472399,The Mechanic,The Mechanic,2011.0,93.0,"Action,Crime,Thriller",6.6,141254.0,the mechanic,Action,The Mechanic,CBS,29100000.0,47000000.0,2011.0,76100000.0,the mechanic
43,1993-06-30,The Firm,42000000.0,158340892.0,270340892.0,228340892.0,5.4366879047619046,1993,the firm,,,,,,,,,,Unknown,,,,,,,
44,2012-03-16,21 Jump Street,42000000.0,138447667.0,202812429.0,160812429.0,3.8288673571428573,2012,21 jump street,tt1232829,21 Jump Street,21 Jump Street,2012.0,109.0,"Action,Comedy,Crime",7.2,477771.0,21 jump street,Action,21 Jump Street,Sony,138400000.0,63100000.0,2012.0,201500000.0,21 jump street
45,1999-05-28,Notting Hill,42000000.0,116089678.0,363728085.0,321728085.0,7.6601925,1999,notting hill,,,,,,,,,,Unknown,,,,,,,
46,2000-06-21,Chicken Run,42000000.0,106793915.0,227793915.0,185793915.0,4.423664642857143,2000,chicken run,,,,,,,,,,Unknown,,,,,,,
47,2004-01-16,Along Came Polly,42000000.0,88073507.0,173044410.0,131044410.0,3.120105,2004,along came polly,,,,,,,,,,Unknown,,,,,,,
48,1992-07-01,Boomerang,42000000.0,70052444.0,131052444.0,89052444.0,2.1202962857142857,1992,boomerang,,,,,,,,,,Unknown,,,,,,,
49,2009-07-10,BrÃ¼no,42000000.0,60054530.0,138708527.0,96708527.0,2.3025839761904763,2009,brã¼no,,,,,,,,,,Unknown,,,,,,,
50,1963-06-12,Cleopatra,42000000.0,57000000.0,71000000.0,29000000.0,0.6904761904761905,1963,cleopatra,,,,,,,,,,Unknown,,,,,,,
51,2017-05-12,Snatched,42000000.0,45852178.0,57852177.0,15852177.0,0.37743278571428573,2017,snatched,tt2334871,Snatched,Snatched,2017.0,90.0,"Action,Adventure,Comedy",4.5,29997.0,snatched,Action,Snatched,Fox,45900000.0,15000000.0,2017.0,60900000.0,snatched
52,2012-10-12,Here Comes the Boom,42000000.0,45290318.0,73239258.0,31239258.0,0.7437918571428571,2012,here comes the boom,tt1648179,Here Comes the Boom,Here Comes the Boom,2012.0,105.0,"Action,Comedy,Sport",6.4,81761.0,here comes the boom,Action,Here Comes the Boom,Sony,45300000.0,27800000.0,2012.0,73100000.0,here comes the boom
53,2002-04-05,High Crimes,42000000.0,41543207.0,63781100.0,21781100.0,0.518597619047619,2002,high crimes,,,,,,,,,,Unknown,,,,,,,
